"","X","NAME","Region","Subregion","MEAN_LAT_M","WMEAN_LAT_M","MED_YLD_HA_M","MEAN_YLD_HA_M","WMEAN_YLD_HA_M","MIN_YLD_HA_M","MAX_YLD_HA_M","TOT_YLD_TOT_M","TOT_CL2050_M2","TOT_CL2050_M3","TOT_CL2050_M4","MED_IPM_M2","MEAN_IPM_M2","WMEAN_IPM_M2","MIN_IPM_M2","MAX_IPM_M2","MED_IPM_M3","MEAN_IPM_M3","WMEAN_IPM_M3","MIN_IPM_M3","MAX_IPM_M3","MED_IPM_M4","MEAN_IPM_M4","WMEAN_IPM_M4","MIN_IPM_M4","MAX_IPM_M4","MED_IYCC_M2","MEAN_IYCC_M2","MIN_IYCC_M2","MAX_IYCC_M2","MED_IYCC_M3","MEAN_IYCC_M3","MIN_IYCC_M3","MAX_IYCC_M3","MED_IYCC_M4","MEAN_IYCC_M4","MIN_IYCC_M4","MAX_IYCC_M4","MED_YLPH_M2","MEAN_YLPH_M2","WMEAN_YLPH_M2","MIN_YLPH_M2","MAX_YLPH_M2","MED_YLPH_M3","MEAN_YLPH_M3","WMEAN_YLPH_M3","MIN_YLPH_M3","MAX_YLPH_M3","MED_YLPH_M4","MEAN_YLPH_M4","WMEAN_YLPH_M4","MIN_YLPH_M4","MAX_YLPH_M4","CELLS_M"
"1",1,"Afghanistan","Asia","Southern Asia",34.0731707317073,34.3602829215769,1.19000005466278,1.27803584530566,1.39189850467571,0.829999984001466,3.36999994727342,3149.17534952006,100.617106106172,141.335943556106,828.831970021672,0.29208632,0.308114205365854,0.309591952259292,0.22173436,0.44760424,0.31620462,0.420820627804878,0.439628751383184,-0.11508387,1.4848108,0.36802496,2.33772348417073,2.62440031815854,-0.99999133,10,0.031270256,0.0320180102890244,0.022173436,0.0458559344,0.03229732335,0.0432381587609756,-0.01323464505,0.14848108,0.038545084,0.23482307085,-0.11499900295,1,0.0367944599590898,0.0405994517405628,0.0443059495025157,0.0263863906372708,0.106671320075035,0.0381602500010246,0.0521074304044294,0.0585509201687347,-0.0385882040961455,0.176692495816382,0.0490677189781859,0.275495218465543,0.315542297536211,-0.33530215430204,1.19000007774832,41
"2",2,"Albania","Europe","Southern Europe",40,39.5369491124428,5.80083744144761,5.80083744144761,7.42380381623261,2.29589572036154,9.30577916253367,4971.98086260737,103.649975899969,94.1110368203284,74.0411403422528,0.259522895,0.259522895,0.257241302046485,0.25459559,0.2644502,0.232130725,0.232130725,0.236110362602258,0.22353634,0.24072511,0.173419955,0.173419955,0.1924321738566,0.13236136,0.21447855,0.02345560665,0.02345560665,0.0178216913,0.029089522,0.02071987755,0.02071987755,0.0168507577,0.0245889974,0.01478662405,0.01478662405,0.0145597496,0.0150134985,0.116315616303905,0.116315616303905,0.139250113369792,0.066786509067163,0.165844723540648,0.106631601888102,0.106631601888102,0.129866489674313,0.0564537738986411,0.156809429877564,0.0865699841471031,0.0865699841471031,0.111177581363294,0.0334276667961757,0.139712301498031,2
"3",3,"Algeria","Africa","Northern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Angola","Africa","Middle Africa",-11.7076923076923,-11.8552460226402,0.580501919944243,0.628550921805983,0.636551320369611,0.280575898446663,1.4414948324946,12483.0303631826,369.090816161367,305.142439147598,213.853301301908,0.15690741,0.161593791692308,0.155650576031847,0.11542877,0.21985095,0.13153491,0.136692841784615,0.128684362655084,0.074328908,0.20382451,0.096172334,0.101186864932308,0.0901893962880803,0.0045210456,0.18792728,0.0296143101,0.0306530438492308,0.0219314663,0.0417716805,0.0249296378,0.0259279269421538,0.01412249252,0.0387266569,0.01827274346,0.0191896905832923,0.000858998664,0.0357061832,0.0177578666585096,0.0191176690608569,0.0188025694525741,0.00742296260101923,0.0396433511478597,0.0150057464187905,0.0161864685868874,0.0155508816940083,0.00579473456371313,0.0348141626955508,0.0110675806119033,0.0119324053252719,0.0108165088274775,0.000608117961902369,0.028523000958559,65
"5",5,"Argentina","Americas","South America",-32.6666666666667,-32.7392968248639,4.72627020701746,4.86392481810595,5.33662823895882,1.01304346837306,6.7289272502498,329167.394672837,4033.88803705275,3611.80530859121,2990.94500377674,0.127493555,0.13622014037037,0.122548226292646,0.10822912,0.20586425,0.11949234,0.128424451981481,0.109725488217964,0.088940864,0.19784441,0.115897145,0.117745676074074,0.0908639510529124,0.034005146,0.19493362,0.0127493555,0.013622014037037,0.010822912,0.020586425,0.011949234,0.0128424451981481,0.0088940864,0.019784441,0.0115897145,0.0117745676074074,0.0034005146,0.019493362,0.0644015626783105,0.0628611288105662,0.0650017934746344,0.0162337085502465,0.098404618584004,0.0612370420401321,0.0596367407499925,0.0591619437916822,0.0149633662235153,0.0940014649094034,0.0576563944698552,0.0551708600940156,0.0506403417978599,0.0129214498994615,0.100084999677084,54
"6",6,"Armenia","Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Australia","Oceania","Australia and New Zealand",-35.75,-34.7429332041647,6.99031186504427,6.20589045681726,8.21397580147342,1.30651736742068,8.32793630186708,5010.59790437333,87.1593299106783,85.6318436935474,83.4074542943421,0.186920525,0.185671381,0.193277732017225,0.16127883,0.2071227,0.18768707,0.1890033495,0.189890497718416,0.16634813,0.21615939,0.193043425,0.194139267,0.184957865278009,0.16642118,0.23336899,0.01682284725,0.01671042429,0.0145150947,0.018641043,0.0168918363,0.017010301455,0.0149713317,0.0194543451,0.01737390825,0.01747253403,0.0149779062,0.0210032091,0.121015419318754,0.105335224178354,0.143001994524943,0.0189642233153059,0.152019017290428,0.120785007441966,0.106723276717825,0.140429190065221,0.0195603048794658,0.15397716069599,0.123240976792077,0.108941251837431,0.136684560005334,0.0204142972834618,0.159177836963656,20
"8",8,"Austria","Europe","Western Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Azerbaijan","Asia","Western Asia",40.5,40.394832999476,3.43000004586245,3.2566667375904,3.41445373833236,2.39000008241899,3.43000011697529,1188.65907325656,35.3119358298912,29.0202002589717,16.7731813794325,0.231412825,0.231224486666667,0.228518236831664,0.20858799,0.25169565,0.1895285,0.18045291,0.187801796753051,0.13627334,0.19659103,0.112124845,0.0189924881666667,0.108546239247553,-0.46056125,0.14245402,0.03008366725,0.0300591832666667,0.0271164387,0.0327204345,0.024638705,0.0234588783,0.0177155342,0.0255568339,0.01457622985,0.00246902346166667,-0.0598729625,0.0185190226,0.0989566965330676,0.0977690103417784,0.101417876289209,0.0735475239212815,0.112231091710199,0.0845107602056434,0.077393261634152,0.0834654113114682,0.0423401281980965,0.0876599413511215,0.0499964693502363,0.0188467307085402,0.0493315738994311,-0.143096385309669,0.0635202496842681,6
"10",10,"Bangladesh","Asia","Southern Asia",24.2,24.5169093480147,1.46417445935056,1.47865195720442,1.51271743674407,0.98394600506001,2.49530465034355,945.204936797958,25.335404502132,27.2286890154052,30.3766893013098,0.164423415,0.163583159,0.167525868701818,0.15689355,0.17061676,0.17891266,0.178977264,0.180044876746829,0.16987905,0.18768339,0.205841125,0.204284356,0.200860470297955,0.17751615,0.22529609,0.0263077464,0.02617330544,0.025102968,0.0272986816,0.0286260256,0.02863636224,0.027180648,0.0300293424,0.03293458,0.03268549696,0.028402584,0.0360473744,0.036907068912145,0.0387081028223817,0.0405874882217111,0.0252330748958588,0.0674197979252698,0.0406133076970989,0.0424583732776443,0.0438033052318668,0.0270889149559684,0.0723010649724226,0.046779187364925,0.0486692302818347,0.0492377445051064,0.0281995075129232,0.0806282119971268,10
