"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Northern America",0.58575932,0.28214994,0.29591253,0.569267455436364,0.279043401054545,0.309024095272727,"0.2556199,0.79581798","0.12692913,0.44642937","0.12454706,0.840596"
"Western Asia",0.55190226,0.2451656,0.22414794,0.558139004210526,0.254572318905263,0.189906106726316,"0.4068882,0.74080893","0.066942021,0.43590858","-0.9999971,0.85825634"
"Southern Europe",0.54214566,0.2522518,0.240443945,0.537166379705882,0.25277918245098,0.246504754313725,"0.30131188,0.68405069","0.13838726,0.32769066","0.12898969,0.35537659"
"Eastern Europe",0.52526679,0.27176816,0.29614354,0.520885627076023,0.271258506764133,0.305421175530214,"0.41086325,0.6509539","0.14877009,0.42344863","-0.028243523,0.79815667"
"Central Asia",0.52322546,0.17657746,0.10582602,0.517214162151899,0.183075047797468,-0.0233045587101266,"0.44536811,0.60343197","-0.33972362,0.3383048","-0.99999411,0.4493943"
"Eastern Asia",0.48207295,0.249523215,0.28552094,0.489175947829182,0.271739147688612,12.9002637555302,"0.28457765,0.96244637","-0.99954854,4.926984","-0.99999731,2293.7376"
"Western Europe",0.441394595,0.2166701,0.209520285,0.439783038653846,0.215831544615385,0.20765389625,"0.26350457,0.54195566","0.1432513,0.26805729","0.14157671,0.26285986"
"Southern Asia",0.414290625,0.21472751,0.23159856,0.451755044057971,0.288847880437198,12.8686003562754,"0.17928084,11.030233","-0.74004216,22.527231","-0.99999133,810.22781"
"Western Africa",0.40812731,0.21895459,0.23292057,0.394242331794872,0.208783650671795,0.220367661331282,"0.2091741,0.47770362","0.070276934,0.27151184","0.0093665926,0.32132655"
"Northern Africa",0.39208824,0.198402915,0.191786765,0.394926916625,0.20686001425,0.2088396571375,"0.29312121,0.69363282","0.14171606,0.47373246","0.071047051,0.86515793"
"Australia and New Zealand",0.38628661,0.17831026,0.16852448,0.365630279473684,0.169046537192982,0.164458788947368,"0.21269466,0.44403","0.09250839,0.21615939","0.076924469,0.23336899"
"Southern Africa",0.38627137,0.18011936,0.1667457,4.30689692961538,6.96697976815385,15.100552569,"0.25657675,508.08147","0.11419037,709.28782","0.07144362,1070.7831"
"Central America",0.33712313,0.14671671,0.13199911,0.39070716869281,0.261044991254902,105.884653600181,"0.10868929,1.2442325","0.03155202,3.8670267","-0.13834752,1903.8024"
"Eastern Africa",0.33274497,0.15106517,0.13407249,0.321212927511111,0.147979887973333,0.125581723548444,"0.20393445,0.45171213","-0.014911294,0.23077251","-0.23134949,0.2537292"
"Middle Africa",0.32369463,0.14491402,0.11341762,0.328467879589744,0.150559326061538,0.124275361752103,"0.13100942,0.47595009","-0.06065444,0.27706342","-0.31943825,0.37318888"
"South America",0.25896786,0.10338257,0.065951291,0.240634584234668,0.586158961983311,1.041412326489,"-0.41101204,1.8297798","-1,414.87572","-1,414.87572"
"South-Eastern Asia",0.223071675,0.11477998,0.097402288,0.264654778440397,4.88465653387685,12.4206329422586,"-0.64220211,1.9130144","-0.98541795,1433.0897","-0.98541795,1489.3241"
"Caribbean",0.19036804,0.063952582,0.0094078833,0.196266332727273,0.0628504761363636,-0.00283076397272727,"0.16117619,0.23004459","-0.026922407,0.11576417","-0.20841658,0.094712872"
"Melanesia",0.179909095,0.069500224,0.0321884595,0.23579040125,27.5896032332333,85.2377756154042,"0.14246015,0.63954172","-0.050817504,659.73359","-0.39310258,724.63912"
