"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Central Asia",0.731332465,0.32591462,0.398567585,0.726394326730769,0.362995530192308,6.97816941288462,"0.52198594,0.98261688","0.17262071,1.203583","-0.90428945,165.43133"
"Western Asia",0.584440135,0.26009802,0.256895985,0.590427802954545,0.270674764772727,0.269125589840909,"0.44519446,0.77842223","0.18985132,0.44435761","0.082532423,0.68262911"
"Southern Europe",0.58323131,0.26055502,0.26135038,0.556895598823529,0.242157197254902,0.16727358145098,"0.36293118,0.74968859","0.11107784,0.31845814","-0.93315705,0.34489041"
"Eastern Europe",0.547793395,0.27875611,0.27822245,0.549237490384615,0.282403475384615,34.1652478264837,"0.33573943,0.89231843","0.13222675,0.66330286","-0.31053847,783.27113"
"Western Europe",0.54589927,0.25657601,0.24358714,0.5401819275,0.25690135,0.242236545,"0.51685883,0.55207034","0.23947655,0.27497683","0.2265289,0.255243"
"Northern America",0.53541636,0.23485035,0.21976352,0.508497377368421,0.234086453157895,0.235910127368421,"0.26184389,0.60952582","0.12559117,0.32999924","0.1084438,0.46480235"
"Eastern Asia",0.48296432,0.25680106,0.27368152,0.509208932320675,0.380329672004219,0.568483002379833,"0.24121906,1.1238857","-0.99936075,50.197447","-0.99936075,38.999871"
"Australia and New Zealand",0.443118465,0.21685753,0.22134886,0.438681235,0.2150871335,0.220302565,"0.3844771,0.47434747","0.17787879,0.24259906","0.17991855,0.25591584"
"Southern Asia",0.42625696,0.226056995,0.24331423,0.456056330236842,0.247757550921053,10.0349923462895,"0.22533317,1.0270184","-0.72818056,0.81301093","-0.97256716,734.5232"
"Northern Africa",0.42243494,0.19151637,0.1737451,0.416078522469136,0.185665324716049,0.16392003617284,"0.26582222,0.68230952","0.080475582,0.31833792","-0.016307309,0.45323881"
"Western Africa",0.41288303,0.19667277,0.20152354,0.422255596140351,0.202136224269006,0.207581097795322,"0.26966851,0.56208079","0.11468058,0.29046168","0.08949108,0.36187121"
"Southern Africa",0.393520165,0.16935943,0.15163371,0.396242288285714,0.176274383357143,0.162571559942857,"0.26291628,0.55711586","0.098546445,0.26510189","0.042485001,0.26777813"
"Middle Africa",0.32520582,0.11908731,0.070947211,0.328351159764368,0.12858795116092,0.0886834431552874,"-0.049210431,0.52607119","-0.16824731,0.29127875","-0.73347991,0.40152796"
"Eastern Africa",0.323761195,0.14983697,0.13720837,0.32511393252381,0.131558286164762,0.075412406352381,"0.19735574,0.48438527","-0.19588836,0.24571028","-0.9904779,0.28435372"
"Central America",0.30365082,0.13241525,0.11859881,0.276868702222222,0.112738750095238,0.0827339938333333,"-1,0.38083368","-0.99894368,0.1849019","-0.99894368,0.17553682"
"South America",0.28825053,0.11226053,0.074041171,0.300186652920661,0.53405717896643,1.93900684879496,"0.041051781,1.0013626","-0.99994551,109.68006","-1,867.45004"
"South-Eastern Asia",0.26089668,0.12505776,0.1163794,0.279436992322476,0.133954409582085,0.122643805707166,"0.097968466,0.40724713","-0.052389641,0.24057282","-0.27895834,0.33569598"
"Caribbean",0.24140462,0.10619963,0.076804054,0.233981389090909,0.0990185857272727,0.0723118920272727,"0.19715039,0.25914819","0.055237688,0.12964138","0.0011259341,0.1304323"
"Melanesia",0.221105885,0.0847151505,0.055677896,0.2577479875,0.341594901333333,0.486114155333333,"-0.14766193,0.76851155","-0.51605053,6.1733446","-0.99984683,6.1733446"
