"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Western Asia",0.652082845,0.337639895,0.452387235,0.6555460471,0.3722298582,56.1960367456,"0.41734113,0.94757214","0.20195287,0.92078658","0.206069,1222.009"
"Central Asia",0.5873749,0.32324546,0.39047973,0.593849305384615,0.320777306324786,0.390187235726496,"0.51592458,0.81608355","0.22864197,0.39773181","0.23324536,0.81791008"
"Northern America",0.57775838,0.27114166,0.303786,0.580692248202995,0.293303571281198,4.90713611178037,"0.37941031,0.89515821","0.17088916,0.82444737","0.16450421,1050.8551"
"Eastern Asia",0.54680869,0.32919333,0.506561965,0.581713193794118,16.9102052300735,114.603034367074,"0.36696461,2.4600235","0.18050054,1833.5707","0.19110357,5500.1101"
"Eastern Europe",0.542381135,0.303190985,0.36938864,0.567803799920635,15.733608302004,25.7657243570635,"0.45459636,1.93249","0.23735582,1228.8778","0.24364529,1344.7133"
"Southern Europe",0.52393394,0.278462955,0.352943935,0.522381678431373,0.287071406372549,0.377807369411765,"0.28947219,0.66050008","0.15374854,0.41921331","0.16940333,1.1470187"
"Southern Asia",0.46665025,0.21224958,0.22490901,0.503508507082228,0.793680036127321,5.71940643912467,"0.28627938,1.3277747","0.14002869,210.55282","0.14106229,662.52244"
"Southern Africa",0.45303504,0.20100988,0.20438275,0.439926644065934,0.19899863032967,0.204252462637363,"0.27586018,0.53717867","0.1273482,0.24988711","0.13002947,0.26715131"
"Australia and New Zealand",0.446224055,0.23999055,0.30415465,0.424819199358974,0.230898524487179,0.309604033974359,"0.25590973,0.54646821","0.11785313,0.33919025","0.12076326,0.70332656"
"Western Europe",0.42806566,0.23237536,0.260864635,0.420200144622641,0.233761812830189,0.269255788679245,"0.25276839,0.52025141","0.16096029,0.3100021","0.18247385,0.50882098"
"Northern Africa",0.42378706,0.20370899,0.200153295,0.4472623802,0.223446605,0.2447206586,"0.34082748,0.65144158","0.16998698,0.3906042","0.16271257,0.53263544"
"Northern Europe",0.42073651,0.25329138,0.31466932,0.416178032459016,0.246779173770492,0.294936619180328,"0.2292503,0.63807638","0.13228292,0.39130914","0.14513802,0.51818718"
"Western Africa",0.41215974,0.19080931,0.1933524,0.414492372207792,0.193941213636364,0.196501852987013,"0.33410834,0.49470946","0.15217368,0.23553643","0.15013212,0.24425928"
"Central America",0.40498301,0.19130906,0.18965507,0.400244694725275,0.188970022857143,0.192484806153846,"0.26881393,0.54150124","0.12322603,0.27347786","0.10260272,0.3399848"
"Middle Africa",0.38606487,0.17372738,0.16679944,0.384551332173913,0.173184386335404,0.165675212428571,"0.28316345,0.44306705","0.10076934,0.20928336","0.046671998,0.21094761"
"Eastern Africa",0.36406571,0.16875525,0.16314716,0.356619879955947,0.165409759251101,0.160361986039648,"0.26601291,0.43541222","0.11940234,0.21764222","0.068112471,0.2347427"
"South America",0.34050951,0.15240526,0.1424709,0.344132279200969,0.153955396229056,0.295684891482712,"0.17786142,0.60297601","-0.025214494,0.40203337","-0.765845,61.935018"
"South-Eastern Asia",0.33716098,0.17141417,0.17480456,0.351619067126437,0.175033638390805,0.181142243448276,"0.23946171,0.57798403","0.11112616,0.32916793","0.10748228,0.49572217"
