"region","sum.2","sum.3","sum.4","present"
"Eastern Asia",45012.1526163034,601736.674735566,2933561.8660895,2825707.97115368
"Southern Asia",40940.2698847757,46801.6633490006,58061.2380764616,2717774.54567025
"Northern America",51193.3720059817,57151.9306837891,167737.747409061,2248839.61315192
"Eastern Europe",46969.9711260633,301137.293521718,738733.818525363,1980799.48501704
"Western Europe",16520.5019032412,17742.9449529948,20178.8596070775,1574686.58016231
"Western Asia",15057.198501885,18274.6069888081,916186.946940959,596819.886404131
"Southern Europe",8394.26001791533,9546.44263865219,12119.9175801435,549769.334275976
"Northern Europe",5014.58309137947,5523.30789662992,6564.48140974889,549311.513510796
"South America",6012.50845949136,6214.94808293699,6635.51258926703,516929.781148373
"Australia and New Zealand",8420.79537851571,10216.4957744844,13568.2197966636,472319.02350878
"Central Asia",12133.802239545,13441.685375794,16089.0721764301,417702.969797912
"Northern Africa",5536.20987497318,6307.88865522611,7584.10085173914,222226.467578292
"Central America",1174.56501763855,1158.328957452,1136.43009796324,72884.8420380209
"Eastern Africa",663.433647917189,630.679897375159,589.919933754955,40130.1498132745
"Southern Africa",546.838847611514,565.430544777635,589.076514825413,36319.7400633792
"South-Eastern Asia",76.0012679600489,78.5339915162889,81.9876840650704,5364.24590331479
"Western Africa",43.4388683581886,44.1458603120519,44.9712140520914,2190.33717284906
"Middle Africa",19.6550278369611,16.7664933764523,13.0345912026358,1208.51511864513
