"region","sum.2","sum.3","sum.4","present"
"Eastern Asia",338402.771186955,201251.534504466,348768.624975608,5614346.18628731
"Southern Asia",322443.403726478,170049.553930743,258180.055513745,4864953.88424954
"South-Eastern Asia",158646.895534814,77079.8179066766,72880.0789978988,3854262.67808095
"South America",15429.2261687752,18217.0067581026,37356.5117923391,481650.085990142
"Northern America",13401.3481847826,5990.33551852582,5705.88026732176,279135.502543359
"Western Africa",8479.26128997397,4102.54423169325,4195.21596782369,158295.299594518
"Northern Africa",3207.39754730985,1335.4789501,1122.51617723932,93846.4674508734
"Southern Europe",2770.10306789594,1238.36334566656,1110.36522350752,70942.7507109625
"Eastern Africa",1706.1453885619,843.835442419499,738.177462552576,51465.2683672659
"Caribbean",995.517640833395,403.181623444096,275.450723722758,43698.5788603059
"Central America",1092.60297076801,547.43802716888,459.109535885729,38318.614117781
"Australia and New Zealand",953.87929823192,474.370142289921,481.993754202222,30484.3218455165
"Eastern Europe",1850.84014695273,1066.02468224844,275264.781315093,23243.2626891762
"Western Europe",560.12633184478,269.304028328325,260.117146936794,14687.2023294941
"Central Asia",1250.63381987813,604.973415466731,2345.08000719371,11064.5165493068
"Middle Africa",474.679299507362,184.020060978592,114.824959218465,8919.72638127011
"Western Asia",655.43927685234,289.449839633286,252.023280040799,8130.28857251948
"Southern Africa",5.80825687174217,2.464991319108,2.17394944410179,88.4451792514813
"Melanesia",0.178317145812006,0.160617630662538,0.265567125755649,11.9353291749223
