"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Western Africa",0.0387057132,0.0416013721,0.0442549083,0.0382050397764103,0.039668893627641,0.0418698556529436,"0.0204655517,0.0480973182","0.01335261746,0.0515872496","0.001779652594,0.0610520445"
"Northern Africa",0.0341101464,0.0326419342,0.031985041,0.03303496029375,0.0321696865925,0.031372412553375,"0.016357707,0.0411635127","0.0160724007,0.0426359214","0.01207799867,0.0778642137"
"Eastern Europe",0.033460375,0.0351393783,0.038099646,0.0321469560268031,0.0340077159203704,0.0384432362817934,"0.0209416968,0.0419330353","0.0193401117,0.0550483219","-0.00367165799,0.1037603671"
"Southern Asia",0.0314255608,0.0333059432,0.036430776,0.0366946589597826,0.0394673424081159,1.2882695678319,"0.0178398304,2.365359255","-0.1184067456,2.365359255","-0.1599809056,81.022781"
"Middle Africa",0.030854765,0.0273490636,0.0213857084,0.0317925128283077,0.0284874266863077,0.0235186659243354,"0.01167257001,0.0459902258","-0.0115243436,0.0526420498","-0.0606932675,0.0709058872"
"Western Asia",0.028933121,0.025504122,0.022414794,0.0284878930310526,0.0264776826771579,0.0179256289028421,"0.019185567,0.0377025571","0.00870246273,0.043590858","-0.129999623,0.085825634"
"Central Asia",0.0276991741,0.0229550698,0.0137573826,0.0290233743240506,0.0238165598906329,-0.00252326650067089,"0.0164405709,0.0401452389","-0.0441640706,0.043979624","-0.1299991706,0.058421259"
"Eastern Africa",0.0273599411,0.0249914161,0.0221248455,0.0274289781982222,0.0247893729142222,0.0210001764435022,"0.01318294937,0.0369884725","-0.00253491998,0.0392313267","-0.0393294133,0.043133964"
"Southern Africa",0.02427408425,0.0234522782,0.0217842625,0.196472016125385,0.905931462768462,1.96326203650577,"0.0163450105,22.2827553","0.0155211862,92.2074166","0.0135742878,139.201803"
"Eastern Asia",0.02039716665,0.02245708935,0.0256968846,0.0207758190911032,0.0245854676409075,1.16108373645769,"0.0134198712,0.0472119075","-0.0899593686,0.44342856","-0.1299985063,206.436384"
"Southern Europe",0.01932555695,0.0200893602,0.0202033092,0.0210641620627451,0.0206704224127451,0.019922189354902,"0.010150763,0.0304285476","0.0096871082,0.029187686","0.0090292783,0.028776206"
"South-Eastern Asia",0.018208059,0.017161899,0.014548001775,0.0209778542663245,0.661225319376743,1.79166457223176,"-0.0074539287,0.12230344845","-0.1478126925,193.4671095","-0.1478126925,223.398615"
"Northern America",0.0161793399,0.0169289964,0.0177547518,0.0159841387865455,0.0167426040632727,0.0185414457163636,"0.007726476,0.021637095","0.0076157478,0.0267857622","0.0074728236,0.05043576"
"Australia and New Zealand",0.0160810389,0.0160479234,0.0151672032,0.0154961892473684,0.0152141883473684,0.0148012910052632,"0.0092697678,0.0190663056","0.0083257551,0.0194543451","0.00692320221,0.0210032091"
"Western Europe",0.0155664803,0.015166907,0.01466641995,0.0157144686514423,0.0153397411591346,0.0147663421798077,"0.0101086097,0.0226666242","0.010027591,0.0223257447","0.0099103697,0.0224600571"
"South America",0.013201878,0.010775912,0.0070372634,0.0130695121419405,0.0760432721934172,0.138773478859128,"-0.0593740615,0.195223327","-0.13,53.9338436","-0.13,53.9338436"
"Caribbean",0.0131421121,0.00831383566,0.001223024829,0.0130098530427273,0.00817056189772727,-0.000367999316454545,"0.00730152475,0.0169137215","-0.00349991291,0.0150493421","-0.0270941554,0.01231267336"
"Central America",0.0113335896,0.0104993568,0.0088509444,0.0130837419083987,0.0169945788252288,6.3538528087734,"0.0069987258,0.0361512234","0.0018931212,0.232021602","-0.0083008512,114.228144"
"Melanesia",0.008492177745,0.00625502016,0.002896961355,0.010503309885,2.483064290991,7.67139980538637,"0.00364763475,0.0336714264","-0.00457357536,59.3760231","-0.0353792322,65.2175208"
