"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Central Asia",0.12432651905,0.0554054854,0.06775648945,0.122839663525,0.0615432586807692,1.18715830927692,"0.080792028,0.1670448696","0.0207144852,0.20460911","-0.108514734,28.1233261"
"Western Asia",0.0931492888,0.0421079296,0.0411860968,0.0942343900704545,0.0431639815318182,0.0427021713540909,"0.0712311136,0.1245475568","0.0303762112,0.0710972176","0.01320518768,0.1092206576"
"Southern Asia",0.0764148753,0.0401572197,0.0437686524,0.0796366640438158,0.0433759582896053,1.61023425624324,"0.0360064656,0.1448907696","-0.0873816672,0.1300817488","-0.1583396331,117.523712"
"Western Africa",0.0743189454,0.0354010986,0.0362742372,0.0760060073052631,0.0363845203684211,0.0373645976031579,"0.0485403318,0.1011745422","0.0206425044,0.0522831024","0.0161083944,0.0651368178"
"Eastern Europe",0.07098831415,0.0362382943,0.0361689185,0.0704829271048077,0.0363581232355769,4.44159761030768,"0.0336711996,0.1160013959","0.0119004075,0.0862293718","-0.0279484623,101.8252469"
"Southern Africa",0.0708336297,0.0304846974,0.0272940678,0.0711946479257143,0.0316685280271429,0.029205786164,"0.0473249304,0.1002808548","0.0177383601,0.0477183402","0.00764730018,0.0482000634"
"Northern Africa",0.0644847152,0.029085256,0.0265042672,0.0602615043753086,0.0269459076977778,0.0233655668148148,"0.033997872,0.08033616","0.01287609312,0.0377270176","-0.00260916944,0.0362591048"
"Middle Africa",0.0584178264,0.0209210663,0.01277049798,0.0588298374791667,0.0230354736748276,0.0159081580638713,"-0.008611825425,0.0946928142","-0.02944327925,0.052430175","-0.12835898425,0.0722750328"
"Eastern Asia",0.0579557184,0.0308161272,0.0328417824,0.0613477223897152,0.0508987777015823,0.0723670435356327,"0.0289462872,0.191060569","-0.11992329,8.53356599","-0.11992329,6.62997807"
"Eastern Africa",0.0518017912,0.024019,0.0223449384,0.0527641859495238,0.0213683107974095,0.012337175876,"0.0315769184,0.0778949856","-0.0313421376,0.0393136448","-0.158476464,0.0454965952"
"Northern America",0.0481874724,0.0211365315,0.0197787168,0.0457647639631579,0.0210677807842105,0.0212319114631579,"0.0235659501,0.0548573238","0.0113032053,0.0296999316","0.009759942,0.0418322115"
"South-Eastern Asia",0.0417403552,0.0200092416,0.0185106416,0.0440245630738762,0.0211451844751433,0.0194213215676384,"0.014456008,0.0693689922","-0.00838234256,0.0384916512","-0.0446333344,0.0537113568"
"Southern Europe",0.0410236554,0.0182388514,0.0182945266,0.0399763500313726,0.0173086435058824,0.0109200924862745,"0.0254051826,0.0524782013","0.0096646655,0.0222920698","-0.0839841345,0.0241423287"
"Western Europe",0.0382129489,0.0179603207,0.0170510998,0.037812734925,0.0179830945,0.01695655815,"0.0361801181,0.0386449238","0.0167633585,0.0192483781","0.015857023,0.01786701"
"South America",0.0374725689,0.0145938689,0.00962535223,0.039024264879686,0.0694274332656359,0.252070890343345,"0.00533673153,0.130177138","-0.1299929163,14.2584078","-0.13,112.7685052"
"Central America",0.0315042768,0.0147020814,0.0124117893,0.0293889832126984,0.0117889859847619,0.00846194008404762,"-0.13,0.044863078","-0.1298626784,0.0202578025","-0.1298626784,0.0187897216"
"Caribbean",0.0313826006,0.0138059519,0.00998452702,0.0304175805818182,0.0128724161445455,0.00940054596354545,"0.0256295507,0.0336892647","0.00718089944,0.0168533794","0.000146371433,0.016956199"
"Australia and New Zealand",0.03101829255,0.0151800271,0.0154944202,0.03070768645,0.015056099345,0.01542117955,"0.026913397,0.0332043229","0.0124515153,0.0169819342","0.0125942985,0.0179141088"
"Melanesia",0.01547741195,0.005930060535,0.00389745272,0.018042359125,0.0239116430933333,0.0340279908733333,"-0.0103363351,0.0537958085","-0.0361235371,0.432134122","-0.0699892781,0.432134122"
