"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Western Asia",0.060061053,0.0307806282,0.0410988807,0.0601547783055,0.034202759406,5.282594726404,"0.0375607017,0.0852814926","0.0181757583,0.0828707922","0.01854621,109.98081"
"Central Asia",0.058568278,0.032324546,0.038927848,0.0592185187384615,0.0319978447299145,0.0388945862700855,"0.0454304214,0.081608355","0.0218088514,0.039773181","0.023324536,0.081791008"
"Eastern Europe",0.053864752,0.03016794905,0.035674001,0.0535675723845734,1.57162496546161,2.57447544841275,"0.023842908,0.193249","0.013777135,122.88778","0.0156522635,134.47133"
"Northern America",0.0519982542,0.0244027494,0.02734074,0.0522623023382695,0.0263973214153078,0.441642250060233,"0.0341469279,0.0805642389","0.0153800244,0.0742002633","0.0148053789,94.576959"
"Northern Africa",0.04346652205,0.02049682,0.0202102185,0.04680782596,0.023478430016,0.02584963552,"0.036065324,0.0716585738","0.016998698,0.042966462","0.016271257,0.0585898984"
"Southern Africa",0.0415795707,0.018110034,0.0185111343,0.0398062397695055,0.0180051868134615,0.0184773982653846,"0.0248274162,0.0483460803","0.011461338,0.0224898399","0.0117026523,0.0240436179"
"Western Africa",0.041215974,0.019080931,0.01933524,0.0414492372207792,0.0193941213636364,0.0196501852987013,"0.033410834,0.049470946","0.015217368,0.023553643","0.015013212,0.024425928"
"Australia and New Zealand",0.04016016495,0.0215991495,0.0273739185,0.0382337279423077,0.0207808672038462,0.0278643630576923,"0.0230318757,0.0491821389","0.0106067817,0.0305271225","0.0108686934,0.0632993904"
"Middle Africa",0.038606487,0.017372738,0.016679944,0.0384551332173913,0.0173184386335404,0.0165675212428571,"0.028316345,0.044306705","0.010076934,0.020928336","0.0046671998,0.021094761"
"Eastern Asia",0.03829071785,0.02307185895,0.03545933755,0.0409964582184191,1.26734142586213,8.12854091881754,"0.0256875227,0.172201645","0.0126350378,128.349949","0.0133772499,385.007707"
"Central America",0.0364484709,0.0172178154,0.0170689563,0.0350629921230769,0.0165460303318681,0.0168891956395604,"0.0188169751,0.0487351116","0.0086258221,0.0246130074","0.0071821904,0.030598632"
"Eastern Africa",0.035769284,0.016453114,0.016013707,0.0353624018325991,0.0164103185370044,0.0159070783903084,"0.026601291,0.043541222","0.011940234,0.021764222","0.0068112471,0.02347427"
"Southern Europe",0.0339639306,0.01869137795,0.0230146013,0.0331649264833333,0.0181872761558824,0.0238771807372549,"0.0173683314,0.0550523115","0.0092249124,0.0301366269","0.0101641998,0.068821122"
"Southern Asia",0.0326694648,0.014881202,0.0157804192,0.0379537635432361,0.0568790224969496,0.402247984750133,"0.0200395566,0.092944229","0.0098020083,14.7386974","0.0098743603,46.3765708"
"South America",0.0324151011,0.0141045957,0.013367529,0.0322983554906174,0.0144078786429298,0.0285666586867337,"0.0160075278,0.060297601","-0.0025214494,0.040203337","-0.0765845,6.1935018"
"South-Eastern Asia",0.0299958291,0.0151665435,0.0155386368,0.0309078600798851,0.0153816044137931,0.0158777348885057,"0.0215515539,0.0411423066","0.0100013544,0.0230417551","0.0096734052,0.0347005519"
"Western Europe",0.021403283,0.011618768,0.01304323175,0.0212777844573113,0.0118423334606132,0.0136567109679245,"0.0126384195,0.029690445","0.0080480145,0.0178107564","0.0091236925,0.025441049"
"Northern Europe",0.0210368255,0.012664569,0.015733466,0.0229978901967213,0.0136378766737705,0.016300524404918,"0.011462515,0.0504628182","0.006614146,0.0297402507","0.007256901,0.0359533332"
