"fact","region","phi","crop","median","mean","min","max"
"IPM","Australia and New Zealand",2,"M",0.38628661,0.365630279473684,0.21269466,0.44403
"IPM","Australia and New Zealand",2,"R",0.443118465,0.438681235,0.3844771,0.47434747
"IPM","Australia and New Zealand",2,"W",0.446224055,0.424819199358974,0.25590973,0.54646821
"IPM","Australia and New Zealand",3,"M",0.17831026,0.169046537192982,0.09250839,0.21615939
"IPM","Australia and New Zealand",3,"R",0.21685753,0.2150871335,0.17787879,0.24259906
"IPM","Australia and New Zealand",3,"W",0.23999055,0.230898524487179,0.11785313,0.33919025
"IPM","Australia and New Zealand",4,"M",0.16852448,0.164458788947368,0.076924469,0.23336899
"IPM","Australia and New Zealand",4,"R",0.22134886,0.220302565,0.17991855,0.25591584
"IPM","Australia and New Zealand",4,"W",0.30415465,0.309604033974359,0.12076326,0.70332656
"IPM","Caribbean",2,"M",0.19036804,0.196266332727273,0.16117619,0.23004459
"IPM","Caribbean",2,"R",0.24140462,0.233981389090909,0.19715039,0.25914819
"IPM","Caribbean",3,"M",0.063952582,0.0628504761363636,-0.026922407,0.11576417
"IPM","Caribbean",3,"R",0.10619963,0.0990185857272727,0.055237688,0.12964138
"IPM","Caribbean",4,"M",0.0094078833,-0.00283076397272727,-0.20841658,0.094712872
"IPM","Caribbean",4,"R",0.076804054,0.0723118920272727,0.0011259341,0.1304323
"IPM","Central America",2,"M",0.33712313,0.39070716869281,0.10868929,1.2442325
"IPM","Central America",2,"R",0.30365082,0.276868702222222,-1,0.38083368
"IPM","Central America",2,"W",0.40498301,0.400244694725275,0.26881393,0.54150124
"IPM","Central America",3,"M",0.14671671,0.261044991254902,0.03155202,3.8670267
"IPM","Central America",3,"R",0.13241525,0.112738750095238,-0.99894368,0.1849019
"IPM","Central America",3,"W",0.19130906,0.188970022857143,0.12322603,0.27347786
"IPM","Central America",4,"M",0.13199911,105.884653600181,-0.13834752,1903.8024
"IPM","Central America",4,"R",0.11859881,0.0827339938333333,-0.99894368,0.17553682
"IPM","Central America",4,"W",0.18965507,0.192484806153846,0.10260272,0.3399848
"IPM","Central Asia",2,"M",0.52322546,0.517214162151899,0.44536811,0.60343197
"IPM","Central Asia",2,"R",0.731332465,0.726394326730769,0.52198594,0.98261688
"IPM","Central Asia",2,"W",0.5873749,0.593849305384615,0.51592458,0.81608355
"IPM","Central Asia",3,"M",0.17657746,0.183075047797468,-0.33972362,0.3383048
"IPM","Central Asia",3,"R",0.32591462,0.362995530192308,0.17262071,1.203583
"IPM","Central Asia",3,"W",0.32324546,0.320777306324786,0.22864197,0.39773181
"IPM","Central Asia",4,"M",0.10582602,-0.0233045587101266,-0.99999411,0.4493943
"IPM","Central Asia",4,"R",0.398567585,6.97816941288462,-0.90428945,165.43133
"IPM","Central Asia",4,"W",0.39047973,0.390187235726496,0.23324536,0.81791008
"IPM","Eastern Africa",2,"M",0.33274497,0.321212927511111,0.20393445,0.45171213
"IPM","Eastern Africa",2,"R",0.323761195,0.32511393252381,0.19735574,0.48438527
"IPM","Eastern Africa",2,"W",0.36406571,0.356619879955947,0.26601291,0.43541222
"IPM","Eastern Africa",3,"M",0.15106517,0.147979887973333,-0.014911294,0.23077251
"IPM","Eastern Africa",3,"R",0.14983697,0.131558286164762,-0.19588836,0.24571028
"IPM","Eastern Africa",3,"W",0.16875525,0.165409759251101,0.11940234,0.21764222
"IPM","Eastern Africa",4,"M",0.13407249,0.125581723548444,-0.23134949,0.2537292
"IPM","Eastern Africa",4,"R",0.13720837,0.075412406352381,-0.9904779,0.28435372
"IPM","Eastern Africa",4,"W",0.16314716,0.160361986039648,0.068112471,0.2347427
"IPM","Eastern Asia",2,"M",0.48207295,0.489175947829182,0.28457765,0.96244637
"IPM","Eastern Asia",2,"R",0.48296432,0.509208932320675,0.24121906,1.1238857
"IPM","Eastern Asia",2,"W",0.54680869,0.581713193794118,0.36696461,2.4600235
"IPM","Eastern Asia",3,"M",0.249523215,0.271739147688612,-0.99954854,4.926984
"IPM","Eastern Asia",3,"R",0.25680106,0.380329672004219,-0.99936075,50.197447
"IPM","Eastern Asia",3,"W",0.32919333,16.9102052300735,0.18050054,1833.5707
"IPM","Eastern Asia",4,"M",0.28552094,12.9002637555302,-0.99999731,2293.7376
"IPM","Eastern Asia",4,"R",0.27368152,0.568483002379833,-0.99936075,38.999871
"IPM","Eastern Asia",4,"W",0.506561965,114.603034367074,0.19110357,5500.1101
"IPM","Eastern Europe",2,"M",0.52526679,0.520885627076023,0.41086325,0.6509539
"IPM","Eastern Europe",2,"R",0.547793395,0.549237490384615,0.33573943,0.89231843
"IPM","Eastern Europe",2,"W",0.542381135,0.567803799920635,0.45459636,1.93249
"IPM","Eastern Europe",3,"M",0.27176816,0.271258506764133,0.14877009,0.42344863
"IPM","Eastern Europe",3,"R",0.27875611,0.282403475384615,0.13222675,0.66330286
"IPM","Eastern Europe",3,"W",0.303190985,15.733608302004,0.23735582,1228.8778
"IPM","Eastern Europe",4,"M",0.29614354,0.305421175530214,-0.028243523,0.79815667
"IPM","Eastern Europe",4,"R",0.27822245,34.1652478264837,-0.31053847,783.27113
"IPM","Eastern Europe",4,"W",0.36938864,25.7657243570635,0.24364529,1344.7133
"IPM","Melanesia",2,"M",0.179909095,0.23579040125,0.14246015,0.63954172
"IPM","Melanesia",2,"R",0.221105885,0.2577479875,-0.14766193,0.76851155
"IPM","Melanesia",3,"M",0.069500224,27.5896032332333,-0.050817504,659.73359
"IPM","Melanesia",3,"R",0.0847151505,0.341594901333333,-0.51605053,6.1733446
