"","NAME","Region","Subregion","MEAN_LAT_W","WMEAN_LAT_W","MED_YLD_HA_W","MEAN_YLD_HA_W","WMEAN_YLD_HA_W","MIN_YLD_HA_W","MAX_YLD_HA_W","TOT_YLD_TOT_W","TOT_CL2050_W2","TOT_CL2050_W3","TOT_CL2050_W4","MED_IPM_W2","MEAN_IPM_W2","WMEAN_IPM_W2","MIN_IPM_W2","MAX_IPM_W2","MED_IPM_W3","MEAN_IPM_W3","WMEAN_IPM_W3","MIN_IPM_W3","MAX_IPM_W3","MED_IPM_W4","MEAN_IPM_W4","WMEAN_IPM_W4","MIN_IPM_W4","MAX_IPM_W4","MED_IYCC_W2","MEAN_IYCC_W2","MIN_IYCC_W2","MAX_IYCC_W2","MED_IYCC_W3","MEAN_IYCC_W3","MIN_IYCC_W3","MAX_IYCC_W3","MED_IYCC_W4","MEAN_IYCC_W4","MIN_IYCC_W4","MAX_IYCC_W4","MED_YLPH_W2","MEAN_YLPH_W2","WMEAN_YLPH_W2","MIN_YLPH_W2","MAX_YLPH_W2","MED_YLPH_W3","MEAN_YLPH_W3","WMEAN_YLPH_W3","MIN_YLPH_W3","MAX_YLPH_W3","MED_YLPH_W4","MEAN_YLPH_W4","WMEAN_YLPH_W4","MIN_YLPH_W4","MAX_YLPH_W4","CELLS_W"
"1","Afghanistan","Asia","Southern Asia",34.0731707317073,34.5795884162914,0.720000032993037,0.960209844581258,1.34075641281874,0.720000016235554,2.89000006577286,54426.1757315979,1479.17558563568,1694.56799875171,2285.00797283025,0.29481789,0.301962085609756,0.293942798885413,0.23141916,0.38599838,0.33624267,0.349246535853659,0.337366004919458,0.22432869,0.4681702,0.41456253,0.481621685853659,0.457096496126795,0.21127113,1.2540085,0.02720667,0.0273127004987805,0.0201939423,0.0366698461,0.0302618403,0.0315634419060976,0.0201895821,0.042135318,0.0373106277,0.0434635993280488,0.0190144017,0.112860765,0.0213222639745526,0.0258671312131822,0.0358537745058659,0.014995962058527,0.0727661065260674,0.0254834252320653,0.029478244973527,0.0399950292489104,0.0145364995874977,0.0770560370737009,0.035306519700604,0.0389294107467662,0.0498087951076614,0.0136903696718203,0.0865974335722177,41
"2","Albania","Europe","Southern Europe",40,40.8874146558678,2.48424061124141,2.48424061124141,2.26764425381122,2.24016490661112,2.7283163158717,1184.57308102785,21.0921239244794,24.6197791470447,33.7857580004979,0.24837004,0.24837004,0.256292345598794,0.23944264,0.25729744,0.288558075,0.288558075,0.299134296179853,0.27664006,0.30047609,0.382561935,0.382561935,0.410274834242238,0.35133313,0.41379074,0.0161886896,0.0161886896,0.0143665584,0.0180108208,0.01881586495,0.01881586495,0.0165984036,0.0210333263,0.0250226698,0.0250226698,0.0210799878,0.0289653518,0.0397718621905327,0.0397718621905327,0.0402824331111735,0.0391965156856437,0.0403472086954217,0.0462019074029322,0.0462019074029322,0.0470149673983308,0.0452856953593036,0.0471181194465608,0.0612000196315609,0.0612000196315609,0.064472046123742,0.0575128746531165,0.0648871646100053,2
"3","Algeria","Africa","Northern Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Angola","Africa","Middle Africa",-11.7076923076923,-10.5892948241837,1.69000004034897,1.54187369970398,1.59052953454553,0.197458735417386,4.91051523444873,123.939155432652,2.23319312972317,2.15450658033173,2.05943263259659,0.1790101,0.178201218153846,0.180184633494349,0.14704967,0.2028844,0.16723085,0.171012607538462,0.173835828783138,0.13137745,0.20080713,0.1609277,0.162362734923077,0.166164810903175,0.10956581,0.20201435,0.01790101,0.0178201218153846,0.014704967,0.02028844,0.016723085,0.0171012607538462,0.013137745,0.020080713,0.01609277,0.0162362734923077,0.010956581,0.020201435,0.0283033412608203,0.0273318115455876,0.0286095274255444,0.00353627447301975,0.089253416870005,0.0268602958180491,0.0262015897466173,0.0275876983722891,0.00337974774870197,0.0855166964656532,0.0253213047747891,0.0248424119172178,0.026353223449318,0.00319072010636944,0.0810934221948274,65
"5","Argentina","Americas","South America",-32.8269230769231,-35.4395777895344,2.08440401530189,2.14691653934722,2.37970101313168,1.2743774600546,2.66049541008592,232009.532686539,2404.27080668341,2505.30467808525,2634.69760141368,0.119174605,0.132025747692308,0.115142338182943,0.10407771,0.20098778,0.12543416,0.136351730192308,0.119980926313924,0.10693019,0.20743914,0.13337049,0.141721495576923,0.126177650782294,0.10980071,0.21499665,0.01072571445,0.0118823172923077,0.0093669939,0.0180889002,0.0112890744,0.0122716557173077,0.0096237171,0.0186695226,0.0120033441,0.0127549346019231,0.0098820639,0.0193496985,0.0251722225132019,0.0246994209775693,0.0246539124296803,0.0183870101421826,0.0344939767552204,0.0259865400301632,0.0255649804603409,0.025745047536778,0.0188611806121843,0.0354476292347922,0.026879902045216,0.0266477657209466,0.0271467098804906,0.0193561086914408,0.0365573454912809,52
"6","Armenia","Asia","Western Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Australia","Oceania","Australia and New Zealand",-35.75,-35.4620312516528,2.2177079656129,2.18645003366416,2.20776218531213,1.66970298109706,2.86846401831158,125530.276890374,2358.53057453225,3003.43979970178,4425.42601988226,0.2118018,0.210438678,0.208761550772857,0.1900673,0.22871163,0.2712248,0.2717970205,0.265844656418334,0.22400025,0.33919025,0.383127075,0.4146195115,0.391709485862567,0.27712892,0.70332656,0.019062162,0.01893948102,0.017106057,0.0205840467,0.024410232,0.024461731845,0.0201600225,0.0305271225,0.03448143675,0.037315756035,0.0249416028,0.0632993904,0.0428146916077557,0.0414732282306472,0.0415475922479276,0.0299979796934058,0.0571404348805436,0.0549802029204682,0.0533486607191116,0.0527297961483041,0.0396116188935366,0.0709896413385631,0.07507714132435,0.0806322963714774,0.0771323124661076,0.0510419063435795,0.124866486712892,20
"8","Austria","Europe","Western Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Azerbaijan","Asia","Western Asia",40.5,40.4072367277774,2.11265428308708,2.05391667087327,2.10027064282214,1.76022844082834,2.11265448424194,17092.9172921483,430.493263959203,468.215842333446,539.601698554989,0.25643339,0.258557375,0.251854763350989,0.23464635,0.28761539,0.27782693,0.282228561666667,0.273923891592528,0.2437577,0.31695321,0.317344445,0.331676366666667,0.315687304473684,0.25859362,0.39751002,0.025643339,0.0258557375,0.023464635,0.028761539,0.027782693,0.0282228561666667,0.02437577,0.031695321,0.0317344445,0.0331676366666667,0.025859362,0.039751002,0.0513342811731439,0.052934850280767,0.052852031647133,0.0495726640306833,0.0590115705758509,0.0559780179664104,0.057773299730332,0.0574802252976022,0.0514975773839742,0.0669612563301687,0.0670439075728504,0.0677450944508702,0.0662032848152804,0.0546318945286735,0.0839801254671959,6
"10","Bangladesh","Asia","Southern Asia",24,24.2594889094859,2.15649605769696,2.08253555514621,2.19095200111063,1.77849985697127,2.29622829915419,34141.7716220859,432.033461528352,452.432509012283,475.934209397469,0.17955419,0.17987930875,0.180772886116714,0.17467693,0.18682314,0.18754638,0.187995175,0.189308323799381,0.18198806,0.19649673,0.19666113,0.19735463,0.199141983887308,0.19036633,0.20776969,0.0125687933,0.0125915516125,0.0122273851,0.0130776198,0.0131282466,0.01315966225,0.0127391642,0.0137547711,0.0137662791,0.0138148241,0.0133256431,0.0145438783,0.0269157307339339,0.026214193955066,0.0277168410269928,0.022032255597994,0.0291276132977665,0.0280370526151619,0.0273990008200434,0.0290270726175149,0.0229157604383917,0.0305548307753245,0.0293312214293644,0.0287651143643369,0.0305364250782759,0.0239330376354313,0.0322020203940349,8
