"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Central Asia",0.29998066,0.32591462,0.398567585,0.299828472692308,0.362995530192308,6.97816941288462,"0.23540749,0.41820913","0.17262071,1.203583","-0.90428945,165.43133"
"Eastern Europe",0.27710977,0.27875611,0.27822245,0.273995487596154,0.282403475384615,34.1652478264837,"0.21633951,0.37718787","0.13222675,0.66330286","-0.31053847,783.27113"
"Western Asia",0.270901155,0.26009802,0.256895985,0.276430552727273,0.270674764772727,0.269125589840909,"0.21925753,0.36936272","0.18985132,0.44435761","0.082532423,0.68262911"
"Western Europe",0.26561281,0.25657601,0.24358714,0.2665013525,0.25690135,0.242236545,"0.24853993,0.28623986","0.23947655,0.27497683","0.2265289,0.255243"
"Southern Europe",0.25394487,0.26055502,0.26135038,0.253746779019608,0.242157197254902,0.16727358145098,"0.15747756,0.30425813","0.11107784,0.31845814","-0.93315705,0.34489041"
"Northern America",0.24920492,0.23485035,0.21976352,0.237289433157895,0.234086453157895,0.235910127368421,"0.13799759,0.28975721","0.12559117,0.32999924","0.1084438,0.46480235"
"Eastern Asia",0.24580993,0.25680106,0.27368152,0.248970634472574,0.380329672004219,0.568483002379833,"0.15751215,0.63893253","-0.99936075,50.197447","-0.99936075,38.999871"
"Australia and New Zealand",0.212439175,0.21685753,0.22134886,0.21166732,0.2150871335,0.220302565,"0.1765807,0.23649783","0.17787879,0.24259906","0.17991855,0.25591584"
"Southern Asia",0.209832685,0.226056995,0.24331423,0.227992349447368,0.247757550921053,10.0349923462895,"0.1202053,0.48000145","-0.72818056,0.81301093","-0.97256716,734.5232"
"Northern Africa",0.20228767,0.19151637,0.1737451,0.200337110246914,0.185665324716049,0.16392003617284,"0.13922952,0.27793204","0.080475582,0.31833792","-0.016307309,0.45323881"
"Western Africa",0.19177584,0.19667277,0.20152354,0.197923070292398,0.202136224269006,0.207581097795322,"0.13362742,0.25001131","0.11468058,0.29046168","0.08949108,0.36187121"
"Southern Africa",0.18167037,0.16935943,0.15163371,0.186546484285714,0.176274383357143,0.162571559942857,"0.13444332,0.26599459","0.098546445,0.26510189","0.042485001,0.26777813"
"Eastern Africa",0.15896596,0.14983697,0.13720837,0.159322104028571,0.131558286164762,0.075412406352381,"0.044616883,0.22810675","-0.19588836,0.24571028","-0.9904779,0.28435372"
"Middle Africa",0.148480245,0.11908731,0.070947211,0.154753294091954,0.12858795116092,0.0886834431552874,"0.052481354,0.24491512","-0.16824731,0.29127875","-0.73347991,0.40152796"
"Central America",0.14794622,0.13241525,0.11859881,0.133615873587302,0.112738750095238,0.0827339938333333,"-0.99894368,0.19299591","-0.99894368,0.1849019","-0.99894368,0.17553682"
"South America",0.13839488,0.11226053,0.074041171,0.143718967297686,0.53405717896643,1.93900684879496,"-0.030243151,0.49331863","-0.99994551,109.68006","-1,867.45004"
"South-Eastern Asia",0.13433078,0.12505776,0.1163794,0.141855429918567,0.133954409582085,0.122643805707166,"0.042994065,0.21131349","-0.052389641,0.24057282","-0.27895834,0.33569598"
"Caribbean",0.12642155,0.10619963,0.076804054,0.118573010454545,0.0990185857272727,0.0723118920272727,"0.09141341,0.13787205","0.055237688,0.12964138","0.0011259341,0.1304323"
"Melanesia",0.10596893,0.0847151505,0.055677896,0.126694649116667,0.341594901333333,0.486114155333333,"-0.0092561782,0.38151267","-0.51605053,6.1733446","-0.99984683,6.1733446"
