"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Central Asia",0.29246041,0.32324546,0.39047973,0.289170676239316,0.320777306324786,0.390187235726496,"0.22552746,0.3414953","0.22864197,0.39773181","0.23324536,0.81791008"
"Western Asia",0.28538696,0.337639895,0.452387235,0.2911388532,0.3722298582,56.1960367456,"0.19838583,0.42452252","0.20195287,0.92078658","0.206069,1222.009"
"Eastern Europe",0.27645433,0.303190985,0.36938864,0.289403843571429,15.733608302004,25.7657243570635,"0.21953976,0.93128263","0.23735582,1228.8778","0.24364529,1344.7133"
"Eastern Asia",0.262285435,0.32919333,0.506561965,0.27278580025,16.9102052300735,114.603034367074,"0.17127569,1.2258118","0.18050054,1833.5707","0.19110357,5500.1101"
"Northern America",0.25438347,0.27114166,0.303786,0.256797050532446,0.293303571281198,4.90713611178037,"0.17206129,0.39075445","0.17088916,0.82444737","0.16450421,1050.8551"
"Southern Europe",0.24589337,0.278462955,0.352943935,0.249969024019608,0.287071406372549,0.377807369411765,"0.14496988,0.32051276","0.15374854,0.41921331","0.16940333,1.1470187"
"Northern Europe",0.22418395,0.25329138,0.31466932,0.222856215409836,0.246779173770492,0.294936619180328,"0.12368164,0.33346253","0.13228292,0.39130914","0.14513802,0.51818718"
"Western Europe",0.218928045,0.23237536,0.260864635,0.216633417169811,0.233761812830189,0.269255788679245,"0.1484406,0.25920297","0.16096029,0.3100021","0.18247385,0.50882098"
"Northern Africa",0.20495772,0.20370899,0.200153295,0.2117942922,0.223446605,0.2447206586,"0.16392282,0.32027368","0.16998698,0.3906042","0.16271257,0.53263544"
"Southern Asia",0.20157978,0.21224958,0.22490901,0.216211673607427,0.793680036127321,5.71940643912467,"0.13910829,0.53045962","0.14002869,210.55282","0.14106229,662.52244"
"Southern Africa",0.19919733,0.20100988,0.20438275,0.194925994065934,0.19899863032967,0.204252462637363,"0.12513722,0.23761996","0.1273482,0.24988711","0.13002947,0.26715131"
"Australia and New Zealand",0.195293825,0.23999055,0.30415465,0.190899331923077,0.230898524487179,0.309604033974359,"0.11547311,0.2644635","0.11785313,0.33919025","0.12076326,0.70332656"
"Central America",0.19247664,0.19130906,0.18965507,0.187051835164835,0.188970022857143,0.192484806153846,"0.13734296,0.23699049","0.12322603,0.27347786","0.10260272,0.3399848"
"Western Africa",0.18940217,0.19080931,0.1933524,0.19172628987013,0.193941213636364,0.196501852987013,"0.15395902,0.22823178","0.15217368,0.23553643","0.15013212,0.24425928"
"Middle Africa",0.17994769,0.17372738,0.16679944,0.179414365403727,0.173184386335404,0.165675212428571,"0.14148989,0.21202811","0.10076934,0.20928336","0.046671998,0.21094761"
"Eastern Africa",0.17319727,0.16875525,0.16314716,0.169458788193833,0.165409759251101,0.160361986039648,"0.12783715,0.20613276","0.11940234,0.21764222","0.068112471,0.2347427"
"South-Eastern Asia",0.16775044,0.17141417,0.17480456,0.170958940574713,0.175033638390805,0.181142243448276,"0.11442157,0.26369536","0.11112616,0.32916793","0.10748228,0.49572217"
"South America",0.15821588,0.15240526,0.1424709,0.159774146750605,0.153955396229056,0.295684891482712,"0.084120308,0.29166155","-0.025214494,0.40203337","-0.765845,61.935018"
