"region","present","sum.2","sum.3","sum.4"
"Northern America",6907733.32889686,241101.779938701,115561.741206598,120303.703308719
"Eastern Asia",3363385.67446206,141630.045475204,71576.8267211091,112713.538532427
"South America",1494175.99295781,40964.4774153069,48066.4774042018,61690.8809529865
"Southern Europe",717047.678868087,33518.7724698533,15734.8121950745,15003.5382613145
"Eastern Europe",623362.345011955,34158.0598257741,16555.6029584477,15698.262798448
"Western Europe",580625.552418901,18390.718187989,8561.59628194889,8067.37811679633
"Central America",577155.622899003,12340.8058104075,4747.3972525332,493289.411332962
"South-Eastern Asia",406400.027216524,12546.8288593503,7621.71193951626,125647.472313768
"Southern Asia",394134.128424771,24256.2953145388,13322.1413195677,236238.526627846
"Eastern Africa",304612.213167571,13899.4517685976,6058.02162277599,4767.62733862577
"Western Africa",204878.800226291,11502.6468690134,5986.0780788967,6131.59567126608
"Southern Africa",197504.493856138,9652.71843590715,4263.20749078787,4332.29272567861
"Western Asia",100446.267689121,5261.48403337603,2236.01881951909,718.490664484054
"Northern Africa",72031.3315294472,2572.04956542992,1191.21464150608,1107.36478630615
"Middle Africa",67912.7689246241,3698.03733005113,1591.60608784679,1059.07925418695
"Central Asia",22046.0495575812,1463.80761768548,438.477585623074,-416.625402734469
"Caribbean",13112.0198726196,231.877176555093,88.2178207608542,29.2204615746795
"Australia and New Zealand",7959.88165294759,282.048063151952,127.733892186966,121.170961209456
"Melanesia",98.5183817915367,1.69801367597529,264.48981181413,530.389245173727
