"region","median","mean","range","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Southern Europe",0.130651815,0.275160886462981,"0.00056835305,2.2099551",0.327220331442175,0.15043953421925,0.139620820128648,0.314590588022587,0.148371778214583,0.146205552584712,"0.0741180576967359,0.506604131977082","0.0340411235068899,0.24297799483538","0.0255967357169016,0.26171583543807"
"Western Europe",0.100685385,0.231590820805094,"0.00062697324,2.8591287",0.261076852045099,0.12617364776502,0.118662674404281,0.254842216606252,0.124791890656313,0.119957520597256,"0.143813381906698,0.35742602588555","0.0780647034551509,0.180847642702889","0.0749745848014927,0.176521830012994"
"Eastern Asia",0.057031687,0.217810695229124,"3.3427472e-08,4.3315026",0.167144720113887,0.084760933121766,0.0944035420004308,0.183352494688595,0.100328872787355,4.46210008720473,"0.0226900395030222,0.498317718459131","-0.848465207927498,2.47829919447262","-0.848465207927498,628.127485316538"
"Northern America",0.0368325015,0.478980510992073,"1.633467e-06,6.6840431",0.240707415254477,0.119230935027145,0.13065728707625,0.250834149729903,0.123304562788656,0.137567379718634,"0.0509937698195203,0.555159804857539","0.0259348406010911,0.287871874497765","0.0259206893313148,0.426690501639053"
"Central America",0.023151207,0.112215353570012,"1.9948077e-06,1.6706043",0.0401012944940881,0.0148923425601103,0.011338476507325,0.0605786670401784,0.0440669615462251,23.1376053394087,"0.00680292334952832,0.337503438506289","0.00310620218222527,0.717818556638671","-0.0316171239015008,518.971822110631"
"Caribbean",0.0200740515,0.0289494637571429,"0.0040300269,0.10320717",0.0481899823412239,0.0166606378709647,0.0010385066925596,0.0425864401944745,0.0151245721551458,0.0028771608089242,"0.0173806309465516,0.061007823381356","-0.00437489115617376,0.0307006569345937","-0.0338676943945607,0.0251178528776399"
"Eastern Africa",0.015961455,0.0333549424470593,"4.9697886e-05,0.31541537",0.0720616865321428,0.0323189424028885,0.027824496079493,0.0731395450465416,0.0333884420458873,0.0279555087207362,"0.00581232646636424,0.167483417589016","-0.00418411062873595,0.0846570386124886","-0.0649166921381046,0.0850676122486776"
"Western Africa",0.012819783,0.0270257106924641,"3.2790001e-06,0.23917949",0.0780560285096289,0.0415549615188765,0.043664412060015,0.0831130853857058,0.043814900964761,0.046160277969081,"0.031885354935914,0.183570480067668","0.0101261783016736,0.0937649325609694","0.00134962897992585,0.100458999856739"
"South America",0.0094135399,0.0628153535673324,"0,1.879696",0.0697219691391041,0.0273895656530221,0.0160992414390246,0.0801384573111929,0.108662157497184,0.144450435006881,"-0.0781133550941085,0.374632614145047","-0.351346021684201,64.6573189154895","-0.558799059210471,64.6573189154895"
"Central Asia",0.008030285,0.0111366501074684,"0.00098804069,0.041797284",0.213321108258887,0.0798133749239267,0.0419486683667576,0.238818551386079,0.0768932850096378,-0.0509807841372561,"0.0505173797715509,0.408443317282483","-0.233806706650488,0.20751700388653","-0.712384475804922,0.283343092976008"
"Western Asia",0.007557947,0.0392394109929737,"4.8061205e-06,0.98625847",0.149325353505154,0.0681818814969836,0.0535425446340042,0.187022238866457,0.0854784871031119,0.0660669795521127,"0.0263984095342726,0.825096235661679","0.010653382514083,0.349421967006717","-0.275599183811244,0.407428609041363"
"Eastern Europe",0.0065372372,0.0514166284679728,"1.0554106e-05,1.9003587",0.171048301444667,0.0910479215171612,0.106041698826048,0.181916395165769,0.0947549090188853,0.105856029948154,"0.111925065509424,0.38120191696007","0.046222869933184,0.189433965545287","-0.00877526315997988,0.247987293849655"
"Southern Asia",0.0059867689,0.0296496946339363,"0,0.93082127",0.0886741203496818,0.0496967226376757,0.0545978973831485,0.118125874917459,0.0784994596003714,3.865903315168,"0.0183955146917853,3.99495994775558","-0.285590289628644,8.15897411948033","-0.33530215430204,533.940155220611"
"South-Eastern Asia",0.0031471111,0.0365870325882218,"5.186442e-06,0.84785943",0.0710102540837479,0.0321600724005576,0.0259975479908066,0.0832104904579581,0.909093783194164,2.93116743928194,"-0.244656326054633,0.349130696395593","-0.37540944123539,261.543041682462","-0.37540944123539,302.006651191498"
"Middle Africa",0.0023932356,0.010177881219852,"1.786e-05,0.27184558",0.0454408431784712,0.0212654061961918,0.016547518537806,0.0524011629258044,0.0242583826348123,0.0200285906607848,"0.0151522633406373,0.187462704138085","-0.00729488152227396,0.102125915912085","-0.0456570150741294,0.106072244587652"
"Australia and New Zealand",0.0015240365,0.00464253398682712,"3.2247505e-06,0.077447419",0.203231288086705,0.0897534575935724,0.0825825909062362,0.196436267345954,0.0900434442418178,0.0876181108680066,"0.0360522303846061,0.358646407672389","0.0163719117161555,0.165620315512221","0.016784760446503,0.172988041239267"
"Southern Africa",0.00054794,0.0398535563909221,"0,0.89453403",0.097243815104993,0.0454842254971564,0.0426593735776405,1.4021865190819,2.29092433614984,3.51315840883415,"0.00132136688782141,167.768497594881","0.000579950287918472,234.206827252932","0.00050255211957934,230.328007657636"
"Northern Africa",0.00039656055,0.0297582953856543,"4.1434668e-05,2.0891413",0.0467586382935126,0.0246761894860949,0.0243725266978983,0.0504152060141702,0.025680370639554,0.0249473427390134,"0.0100623944126704,0.271504643587993","0.00587061219160994,0.123486402187081","0.00546896917610126,0.111354598976495"
"Melanesia",0.00010073975,0.000107184214074074,"1.0254902e-05,0.00031648703",0.0835149218848291,0.0325973333293546,0.0122507169754607,0.0997514290995435,13.7196425051841,32.5635924469333,"0.0263257316542777,0.318299915316356","-0.0252918720753883,328.349409055528","-0.195647156654232,352.985815700421"
