"region","median.2","median.3","median.4","mean.2","mean.3","mean.4","range.2","range.3","range.4"
"Central Asia",0.0509967122,0.0554054854,0.06775648945,0.0507285527903846,0.0615432586807692,1.18715830927692,"0.0302374884,0.0710955521","0.0207144852,0.20460911","-0.108514734,28.1233261"
"Western Asia",0.0426552128,0.0421079296,0.0411860968,0.0441179103340909,0.0431639815318182,0.0427021713540909,"0.0350812048,0.0590980352","0.0303762112,0.0710972176","0.01320518768,0.1092206576"
"Southern Asia",0.0376883968,0.0401572197,0.0437686524,0.0398159243713816,0.0433759582896053,1.61023425624324,"0.021636954,0.0763418436","-0.0873816672,0.1300817488","-0.1583396331,117.523712"
"Eastern Europe",0.03598323235,0.0362382943,0.0361689185,0.0351419248923077,0.0363581232355769,4.44159761030768,"0.020019735,0.0490344231","0.0119004075,0.0862293718","-0.0279484623,101.8252469"
"Western Africa",0.0345196512,0.0354010986,0.0362742372,0.0356261526526316,0.0363845203684211,0.0373645976031579,"0.0240529356,0.0450020358","0.0206425044,0.0522831024","0.0161083944,0.0651368178"
"Southern Africa",0.0327006666,0.0304846974,0.0272940678,0.0335144513142857,0.0316685280271429,0.029205786164,"0.0241997976,0.0478790262","0.0177383601,0.0477183402","0.00764730018,0.0482000634"
"Northern Africa",0.0306174736,0.029085256,0.0265042672,0.0293384204740741,0.0269459076977778,0.0233655668148148,"0.015861428,0.039197496","0.01287609312,0.0377270176","-0.00260916944,0.0362591048"
"Eastern Asia",0.0294971916,0.0308161272,0.0328417824,0.0299567723739979,0.0508987777015823,0.0723670435356327,"0.018901458,0.0766719036","-0.11992329,8.53356599","-0.11992329,6.62997807"
"Middle Africa",0.0266406543,0.0209210663,0.01277049798,0.027711877023908,0.0230354736748276,0.0159081580638713,"0.00944664372,0.0440847216","-0.02944327925,0.052430175","-0.12835898425,0.0722750328"
"Eastern Africa",0.0255583256,0.024019,0.0223449384,0.0258451101521905,0.0213683107974095,0.012337175876,"0.00713870128,0.0372317562","-0.0313421376,0.0393136448","-0.158476464,0.0454965952"
"Northern America",0.0224284428,0.0211365315,0.0197787168,0.0213560489842105,0.0210677807842105,0.0212319114631579,"0.0124197831,0.0260781489","0.0113032053,0.0296999316","0.009759942,0.0418322115"
"South-Eastern Asia",0.0214929248,0.0200092416,0.0185106416,0.0223511957542345,0.0211451844751433,0.0194213215676384,"0.00477618372,0.0345018726","-0.00838234256,0.0384916512","-0.0446333344,0.0537113568"
"Western Europe",0.0185928967,0.0179603207,0.0170510998,0.018655094675,0.0179830945,0.01695655815,"0.0173977951,0.0200367902","0.0167633585,0.0192483781","0.015857023,0.01786701"
"Southern Europe",0.0185502282,0.0182388514,0.0182945266,0.0183179125313725,0.0173086435058824,0.0109200924862745,"0.0110234292,0.0219688992","0.0096646655,0.0222920698","-0.0839841345,0.0241423287"
"South America",0.0179913344,0.0145938689,0.00962535223,0.0186834657486992,0.0694274332656359,0.252070890343345,"-0.00393160963,0.0641314219","-0.1299929163,14.2584078","-0.13,112.7685052"
"Central America",0.0166713833,0.0147020814,0.0124117893,0.0140795006060317,0.0117889859847619,0.00846194008404762,"-0.1298626784,0.0214314412","-0.1298626784,0.0202578025","-0.1298626784,0.0187897216"
"Caribbean",0.0164348015,0.0138059519,0.00998452702,0.0154144913590909,0.0128724161445455,0.00940054596354545,"0.0118837433,0.0179233665","0.00718089944,0.0168533794","0.000146371433,0.016956199"
"Australia and New Zealand",0.01487074225,0.0151800271,0.0154944202,0.0148167124,0.015056099345,0.01542117955,"0.012360649,0.0165548481","0.0124515153,0.0169819342","0.0125942985,0.0179141088"
"Melanesia",0.0074178251,0.005930060535,0.00389745272,0.00886862543816667,0.0239116430933333,0.0340279908733333,"-0.000647932474,0.0267058869","-0.0361235371,0.432134122","-0.0699892781,0.432134122"
